Family,Type,Material: Name,Material: Volume,Material: Area,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,276.70 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,147.57 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,119.90 m³,1845 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Soldier Course,0.00 m³,7 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,184.46 m³,1845 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,138.35 m³,1845 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,White,0.00 m³,1851 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,18.45 m³,1845 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,302.05 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,161.10 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,130.89 m³,2014 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Soldier Course,0.00 m³,2030 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,17 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,201.37 m³,2014 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,151.03 m³,2014 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint - White Lining,0.00 m³,3 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,5 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,20.14 m³,2014 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,23 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,299.17 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,159.55 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.64 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.44 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.58 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,2 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.94 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,21 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,299.70 m³,1998 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,159.84 m³,1998 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1998 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1998 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.87 m³,1998 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.80 m³,1998 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.85 m³,1998 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,1 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,White,0.00 m³,1998 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.98 m³,1998 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,19 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,299.17 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,159.55 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.64 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.44 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.58 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,2 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.94 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,19 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,299.16 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,159.55 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.64 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.44 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.58 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,2 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,White,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.94 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,19 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,299.17 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,159.55 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.64 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.44 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.58 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,2 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.94 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,19 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,299.16 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,159.55 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.64 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.44 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.58 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,2 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.94 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,18 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,51.69 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,27.57 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,22.40 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,34.46 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,25.85 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,3.45 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,17 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,51.69 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,27.57 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,22.40 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,34.46 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,25.85 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,3.45 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,35 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,52.28 m³,349 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,27.88 m³,349 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,349 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,349 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,22.65 m³,349 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,34.85 m³,349 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,26.14 m³,349 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,3.49 m³,349 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,35 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,51.68 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,27.56 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,22.39 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,34.45 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,25.84 m³,345 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,3.45 m³,345 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Rigid insulation,35.05 m³,389 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,389 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,389 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,19.47 m³,389 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,25.32 m³,389 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,58.42 m³,389 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,48.69 m³,389 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Rigid insulation,3.17 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,1.76 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,2.29 m³,35 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,5.29 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,4.41 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Rigid insulation,3.76 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,2.09 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,2.71 m³,42 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,6.26 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,5.22 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Rigid insulation,33.44 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,18.58 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,24.15 m³,372 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,55.73 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,46.44 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Rigid insulation,6.76 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,3.75 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,4.88 m³,75 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,11.26 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,9.38 m³,75 m²,,
