System Type,System Name,Diameter,Length,Material
Other,Other 1,50 mm,106,Copper
Other,Other 1,50 mm,329,Copper
Sanitary,Sanitary 8,90 mm,108,Copper
Other,Other 2,50 mm,177,Copper
Sanitary,Sanitary 9,90 mm,148,Copper
Sanitary,Sanitary 10,90 mm,148,Copper
Other,Other 3,55 mm,25,<By Category>
Other,Other 4,50 mm,157,Copper
Other,Other 5,50 mm,77,Copper
Sanitary,Sanitary 5,100 mm,157,Copper
Other,Other 6,50 mm,137,Copper
Sanitary,Sanitary 6,100 mm,159,Copper
Sanitary,Sanitary 11,100 mm,204,Copper
Domestic Cold Water,Domestic Cold Water 1,25 mm,169,Copper
Other,Other 7,50 mm,65,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 8,50 mm,121,Polyvinyl Chloride - Rigid
Other,Other 9,50 mm,124,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,59,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,140,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,732,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,681,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 10,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,46,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Other,Other 11,65 mm,111,Polyvinyl Chloride - Rigid
Other,Other 12,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,82,Copper
Sanitary,Sanitary 11,100 mm,681,Copper
Sanitary,Sanitary 11,100 mm,689,Copper
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,283,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,482,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 4,100 mm,68,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 2,25 mm,140,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 2,25 mm,267,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 13,32 mm,260,Polyvinyl Chloride - Rigid
Other,Other 13,50 mm,65,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 15,50 mm,121,Polyvinyl Chloride - Rigid
Other,Other 14,50 mm,124,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,59,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,140,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,732,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,681,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 18,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,46,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Other,Other 17,65 mm,111,Polyvinyl Chloride - Rigid
Other,Other 16,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,82,Copper
Sanitary,Sanitary 11,100 mm,681,Copper
Sanitary,Sanitary 11,100 mm,689,Copper
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,858,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 26,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 20,100 mm,68,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 3,25 mm,140,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 3,25 mm,267,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 21,32 mm,260,Polyvinyl Chloride - Rigid
Other,Other 25,50 mm,65,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 27,50 mm,121,Polyvinyl Chloride - Rigid
Other,Other 26,50 mm,124,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,59,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,140,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,732,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,681,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 30,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,46,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Other,Other 29,65 mm,111,Polyvinyl Chloride - Rigid
Other,Other 28,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,82,Copper
Sanitary,Sanitary 11,100 mm,681,Copper
Sanitary,Sanitary 11,100 mm,689,Copper
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,283,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,858,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 48,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 42,100 mm,68,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 5,25 mm,140,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 5,25 mm,267,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 43,32 mm,260,Polyvinyl Chloride - Rigid
Other,Other 37,50 mm,65,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 39,50 mm,121,Polyvinyl Chloride - Rigid
Other,Other 38,50 mm,124,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,59,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,140,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,732,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,681,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 42,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,46,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Other,Other 41,65 mm,111,Polyvinyl Chloride - Rigid
Other,Other 40,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,82,Copper
Sanitary,Sanitary 11,100 mm,681,Copper
Sanitary,Sanitary 11,100 mm,689,Copper
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,283,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,858,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 70,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 64,100 mm,68,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 7,25 mm,140,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 7,25 mm,267,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 65,32 mm,260,Polyvinyl Chloride - Rigid
Other,Other 49,50 mm,65,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 51,50 mm,121,Polyvinyl Chloride - Rigid
Other,Other 50,50 mm,124,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,59,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,140,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,732,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,681,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 54,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,46,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Other,Other 53,65 mm,111,Polyvinyl Chloride - Rigid
Other,Other 52,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,82,Copper
Sanitary,Sanitary 11,100 mm,681,Copper
Sanitary,Sanitary 11,100 mm,689,Copper
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,858,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 92,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 86,100 mm,68,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 9,25 mm,140,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 9,25 mm,267,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 87,32 mm,260,Polyvinyl Chloride - Rigid
Other,Other 61,50 mm,65,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 63,50 mm,121,Polyvinyl Chloride - Rigid
Other,Other 62,50 mm,124,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,59,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,140,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,732,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,681,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,38,Polyvinyl Chloride - Rigid
Other,Other 66,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,46,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Sanitary,Sanitary 11,100 mm,43,Copper
Other,Other 65,65 mm,111,Polyvinyl Chloride - Rigid
Other,Other 64,65 mm,111,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,82,Copper
Sanitary,Sanitary 11,100 mm,681,Copper
Sanitary,Sanitary 11,100 mm,689,Copper
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,161,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,283,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,446,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,858,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 114,32 mm,160,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 108,100 mm,68,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 11,25 mm,140,Polyvinyl Chloride - Rigid
Domestic Cold Water,Domestic Cold Water 11,25 mm,267,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 109,32 mm,260,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,3823,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,3601,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,3601,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,3601,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,3601,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 11,100 mm,3795,Copper
Sanitary,Sanitary 11,100 mm,3785,Copper
Sanitary,Sanitary 11,100 mm,3635,Copper
Sanitary,Sanitary 11,100 mm,3635,Copper
Sanitary,Sanitary 11,100 mm,3635,Copper
Sanitary,Sanitary 11,100 mm,3635,Copper
Sanitary,Sanitary 11,100 mm,698,Copper
Sanitary,Sanitary 11,100 mm,21,Copper
Sanitary,Sanitary 11,100 mm,145,Copper
Sanitary,Sanitary 11,100 mm,146,Copper
Sanitary,Sanitary 11,100 mm,3243,Copper
Sanitary,Sanitary 12,32 mm,3364,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,3901,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,672,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,283,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,482,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,482,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,482,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,283,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,482,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 12,32 mm,482,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,858,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,3449,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,3901,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,695,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 3,32 mm,3751,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 2,100 mm,3428,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,2478,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,295,Polyvinyl Chloride - Rigid
Sanitary,Sanitary 1,100 mm,3901,Polyvinyl Chloride - Rigid
