Type,Family,Area,Width,Base Constraint,Top Constraint,Function,Structural Usage,Fire Rating,Volume,Length
BEN714_PT_04-30,Basic Wall,8 m²,30,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.24 m³,2657
BEN714_PT_04-30,Basic Wall,2 m²,30,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.07 m³,914
BEN714_PT_04-30,Basic Wall,9 m²,30,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.27 m³,2867
BEN714_PT_04-30,Basic Wall,0 m²,30,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.01 m³,252
BEN714_PT_04-30,Basic Wall,0 m²,30,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.01 m³,252
BEN714_IN-04_100,Basic Wall,5 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.55 m³,2054
BEN714_IN-04_100,Basic Wall,9 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.86 m³,5435
BEN714_IN-04_100,Basic Wall,5 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.55 m³,2054
BEN714_IN-04_100,Basic Wall,5 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.55 m³,2054
BEN714_Conc_170,Basic Wall,5 m²,170,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.93 m³,2054
BEN714_IN-04_100,Basic Wall,6 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.60 m³,2164
BEN714_IN-04_100,Basic Wall,4 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.40 m³,2770
BEN714_IN-04_100,Basic Wall,6 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.57 m³,2164
BEN714_IN-04_100,Basic Wall,6 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.60 m³,2214
BEN714_IN-05_120,Basic Wall,9 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,1.11 m³,3282
BEN714_IN-04_100,Basic Wall,1 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.13 m³,509
BEN714_IN-05_120,Basic Wall,3 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.39 m³,1876
BEN714_IN-05_120,Basic Wall,2 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.27 m³,847
BEN714_IN-04_100,Basic Wall,6 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.61 m³,2225
BEN714_IN-05_120,Basic Wall,5 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.58 m³,2435
BEN714_IN-05_120,Basic Wall,6 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.78 m³,2435
BEN714_IN-05_120,Basic Wall,3 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.40 m³,1896
BEN714_IN-05_120,Basic Wall,9 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,1.07 m³,3282
BEN714_IN-04_100,Basic Wall,1 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.13 m³,509
BEN714_IN-05_120,Basic Wall,4 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.45 m³,2116
BEN714_IN-05_120,Basic Wall,4 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.52 m³,1604
BEN714_IN-05_120,Basic Wall,7 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.79 m³,3145
BEN714_IN-04_100,Basic Wall,18 m²,100,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,1.76 m³,6108
BEN714_IN-05_120,Basic Wall,2 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.23 m³,782
BEN714_IN-01_215,Basic Wall,12 m²,215,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,2.49 m³,3933
BEN714_IN-01_215,Basic Wall,2 m²,215,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.41 m³,702
BEN714_IN-05_120,Basic Wall,4 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.45 m³,1451
BEN714_IN-05_120,Basic Wall,5 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.59 m³,3665
BEN714_IN-01_215,Basic Wall,2 m²,215,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.33 m³,702
BEN714_PT_03-70,Basic Wall,18 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,1.24 m³,6715
BEN714_PT_03-70,Basic Wall,1 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.08 m³,448
BEN714_PT_03-70,Basic Wall,1 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.04 m³,140
BEN714_PT_03-70,Basic Wall,8 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.59 m³,2801
BEN714_PT_04-30,Basic Wall,24 m²,30,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.71 m³,7856
BEN714_PT_04-30,Basic Wall,3 m²,30,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.10 m³,1094
BEN714_PT_03-70,Basic Wall,19 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,1.32 m³,7051
BEN714_PT_03-70,Basic Wall,18 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,1.23 m³,5778
BEN714_PT_03-70,Basic Wall,73 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,5.09 m³,23859
BEN714_PT_03-70,Basic Wall,10 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.70 m³,3416
BEN714_PT_03-70,Basic Wall,9 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.64 m³,3008
BEN714_PT_03-70,Basic Wall,5 m²,70,-01_Basement Floor,Up to level: 00_Ground Floor,Interior,Non-bearing,,0.37 m³,2643
BEN714_Conc_300,Basic Wall,1 m²,300,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.44 m³,557
BEN714_Conc_300,Basic Wall,1 m²,300,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.44 m³,500
BEN714_Conc_300,Basic Wall,1 m²,300,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.44 m³,500
BEN714_Conc_300,Basic Wall,1 m²,300,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.44 m³,500
BEN714_IN-01_140,Basic Wall,1 m²,140,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.17 m³,556
BEN714_IN-01_140,Basic Wall,6 m²,140,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.90 m³,2364
BEN714_IN-01_140,Basic Wall,2 m²,140,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.27 m³,660
BEN714_IN-01_140,Basic Wall,1 m²,140,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.13 m³,260
BEN714_IN-01_140,Basic Wall,1 m²,140,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.16 m³,239
BEN714_IN-01_140,Basic Wall,1 m²,140,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.15 m³,227
BEN714_IN-01_140,Basic Wall,1 m²,140,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.12 m³,589
Storefront,Curtain Wall,10 m²,,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,,3560
Storefront,Curtain Wall,21 m²,,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,,7265
Storefront,Curtain Wall,4 m²,,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,,1410
BEN714_IN-05_120,Basic Wall,3 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.32 m³,847
BEN714_IN-05_120,Basic Wall,5 m²,120,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.58 m³,2435
BEN714_Conc_170,Basic Wall,11 m²,170,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,1.92 m³,3966
BEN714_PT_04-30,Basic Wall,4 m²,30,02_Second Floor,Up to level: 05_Fifth Floor,Interior,Non-bearing,,0.13 m³,380
BEN714_PT_04-30,Basic Wall,4 m²,30,02_Second Floor,Up to level: 05_Fifth Floor,Interior,Non-bearing,,0.13 m³,380
BEN714_PT_04-30,Basic Wall,4 m²,30,02_Second Floor,Up to level: 05_Fifth Floor,Interior,Non-bearing,,0.13 m³,380
BEN714_PT_04-30,Basic Wall,4 m²,30,02_Second Floor,Up to level: 05_Fifth Floor,Interior,Non-bearing,,0.13 m³,380
BEN714_Conc_300,Basic Wall,126 m²,300,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,37.65 m³,41075
BEN714_EX-02-170,Basic Wall,3 m²,170,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,0.56 m³,779
DAR-GL03,Curtain Wall,19 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,6500
DAR-GL03,Curtain Wall,19 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,19 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,19 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,19 m²,,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,19 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,19 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,6500
DAR-GL03,Curtain Wall,19 m²,,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,6500
DAR-GL03,Curtain Wall,19 m²,,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,19 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,6494
DAR-GL03,Curtain Wall,19 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,6494
DAR-GL03,Curtain Wall,19 m²,,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,6494
DAR-GL03,Curtain Wall,15 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,5123
DAR-GL03,Curtain Wall,15 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,5123
DAR-GL03,Curtain Wall,15 m²,,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,5123
DAR-GL03,Curtain Wall,4 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,1342
DAR-GL03,Curtain Wall,19 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,6504
DAR-GL03,Curtain Wall,19 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,6453
DAR-GL03,Curtain Wall,8 m²,,03_Third Floor,Up to level: 04_Fourth Floor,Exterior,Non-bearing,,,2618
DAR-GL03,Curtain Wall,19 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,6453
DAR-GL03,Curtain Wall,8 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,2618
DAR-GL03,Curtain Wall,19 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,6504
DAR-GL03,Curtain Wall,19 m²,,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,6453
DAR-GL03,Curtain Wall,19 m²,,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,6504
DAR-GL03,Curtain Wall,8 m²,,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,2618
DAR-GL03,Curtain Wall,4 m²,,04_Fourth Floor,Up to level: 05_Fifth Floor,Exterior,Non-bearing,,,1342
BEN714_EX-02-170,Basic Wall,60 m²,170,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Bearing,,10.20 m³,15020
BEN714_EX-02-170,Basic Wall,12 m²,170,05_Fifth Floor,Up to level: 06_Sixth Floor Layout,Exterior,Bearing,,2.08 m³,3148
Storefront,Curtain Wall,168 m²,,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Exterior,Non-bearing,,,42139
Exterior Glazing,Curtain Wall,42 m²,,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Exterior,Non-bearing,,,10900
Exterior Glazing,Curtain Wall,60 m²,,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Exterior,Non-bearing,,,14969
Exterior Glazing,Curtain Wall,32 m²,,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Exterior,Non-bearing,,,7809
BEN714_PT_05-20,Basic Wall,4 m²,20,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.09 m³,1362
Exterior Glazing,Curtain Wall,84 m²,,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Exterior,Non-bearing,,,20400
Storefront,Curtain Wall,41 m²,,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Exterior,Non-bearing,,,1900
Storefront,Curtain Wall,48 m²,,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Exterior,Non-bearing,,,1900
BEN714_EX-02-170,Basic Wall,2 m²,170,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,0.28 m³,490
BEN714_EX-02-170,Basic Wall,11 m²,170,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,1.85 m³,3816
BEN714_EX-02-170,Basic Wall,9 m²,170,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,1.60 m³,4045
BEN714-ROOF LOUVERS,Curtain Wall,20 m²,,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,,7817
BEN714-ROOF LOUVERS,Curtain Wall,63 m²,,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,,24751
BEN714-ROOF LOUVERS,Curtain Wall,28 m²,,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,,10869
BEN714-ROOF LOUVERS,Curtain Wall,28 m²,,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,,11190
BEN714_EX-02-170,Basic Wall,11 m²,170,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,1.80 m³,4394
BEN714_IN-01_140,Basic Wall,1 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.13 m³,661
BEN714_IN-01_140,Basic Wall,1 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.13 m³,661
BEN714_IN-01_140,Basic Wall,8 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,1.14 m³,6650
BEN714_IN-01_140,Basic Wall,5 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.67 m³,3863
BEN714_IN-01_140,Basic Wall,4 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.50 m³,2961
BEN714_IN-01_140,Basic Wall,1 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.10 m³,750
BEN714_IN-05_120,Basic Wall,2 m²,120,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,0.26 m³,1040
BEN714_EX-02-170,Basic Wall,2 m²,170,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,0.27 m³,569
BEN714_EX-02-170,Basic Wall,14 m²,170,07_Roof Floor,Up to level: 08_Upper Roof,Exterior,Non-bearing,,2.32 m³,4962
BEN714_IN-01_140,Basic Wall,1 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.17 m³,1140
BEN714_IN-01_140,Basic Wall,1 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.17 m³,1140
BEN714_IN-01_140,Basic Wall,9 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,1.24 m³,7400
BEN714_IN-01_140,Basic Wall,9 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,1.21 m³,7073
BEN714_IN-01_140,Basic Wall,9 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,1.21 m³,7073
BEN714_IN-01_140,Basic Wall,2 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.30 m³,1950
BEN714_IN-01_140,Basic Wall,2 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.30 m³,1950
BEN714_IN-01_140,Basic Wall,1 m²,140,07_Roof Floor,Unconnected,Exterior,Non-bearing,,0.13 m³,901
